[0719/003544.544:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0719/163732.504:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/163737.516:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/163742.531:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/163747.549:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/163752.555:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/163755.580:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/163757.564:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/170209.442:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
[0719/170212.572:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/170217.584:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/170222.592:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/170227.595:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/170232.600:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0719/170237.606:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0720/234521.328:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0720/234526.905:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002054.219:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002059.238:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002104.247:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002109.253:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002114.268:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002119.285:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002124.288:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002129.290:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002134.303:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002139.320:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002144.337:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002149.341:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002154.346:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002159.362:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002204.367:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002209.375:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/002214.868:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/004446.548:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/004451.555:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/004456.572:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/004501.576:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/004506.595:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/004511.610:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/004516.629:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0721/004521.632:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
